node1,node2,Elevation1,Elevation2,Elevation3,Elevation4,Elevation5,Elevation6
90,96,11.68,11.93,,,,
91,92,10.72,10.9,,,,
91,242,11.71,11.58,,,,
92,151,10.9,9.41,,,,
92,94,10.9,9.64,,,,
92,93,10.9,11,,,,
93,95,11,9.78,,,,
93,151,11,12.06,9.41,,,
93,99,11,11.16,,,,
94,224,9.64,11.89,,,,
94,95,9.64,9.78,,,,
95,225,9.78,11.93,,,,
95,102,9.78,9.84,,,,
96,224,11.93,11.89,,,,
96,98,11.93,12.06,,,,
96,97,11.93,12.86,,,,
98,103,12.06,11.49,,,,
98,225,12.06,11.93,,,,
99,100,11.16,11.99,12.07,,,
99,102,11.16,9.84,,,,
99,101,11.16,11.16,,,,
100,101,12.07,11.91,11.16,,,
101,107,11.16,9.96,,,,
102,107,9.84,9.96,,,,
102,103,9.84,11.49,,,,
103,104,11.49,13.2,,,,
103,106,11.49,11.03,,,,
103,225,11.49,11.93,,,,
104,105,13.2,13.06,,,,
105,209,13.06,13.46,,,,
105,106,13.06,11.03,,,,
106,107,11.03,9.96,,,,
108,117,12.27,12.13,,,,
108,109,12.27,12.07,,,,
109,110,12.07,12.06,,,,
110,112,12.06,12.01,11.85,,,
110,111,12.06,12.36,,,,
111,117,12.36,12.13,,,,
111,113,12.36,12.34,12.27,12.18,,
112,113,11.85,12.18,,,,
112,114,11.85,11.68,11.69,11.61,,
113,116,12.18,12,,,,
114,115,11.61,11.8,,,,
115,116,11.8,12,,,,
115,169,11.8,11.91,,,,
118,119,11.76,12.02,,,,
118,230,11.76,12.12,,,,
118,136,11.76,11.45,,,,
119,120,12.02,12.15,,,,
119,121,12.02,12.21,,,,
120,136,12.15,11.45,,,,
120,231,12.15,11.62,,,,
120,134,12.15,11.98,,,,
121,226,12.21,12.34,,,,
121,123,12.21,12.3,,,,
121,122,12.21,11.92,,,,
122,124,11.92,12.23,,,,
122,134,11.92,11.98,,,,
122,232,11.92,11.84,,,,
123,125,12.3,12.28,,,,
123,124,12.3,12.23,,,,
124,233,12.23,12.17,,,,
124,126,12.23,12.42,,,,
125,227,12.28,12.21,,,,
125,126,12.28,12.42,,,,
126,127,12.42,12.55,,,,
126,234,12.42,12.35,,,,
127,229,12.55,12.01,,,,
127,128,12.55,12.61,12.52,,,
127,235,12.55,12.49,,,,
128,236,12.52,12.41,,,,
128,228,12.52,11.83,,,,
128,171,12.52,12.48,,,,
129,130,9.64,8.61,,,,
129,236,9.64,12.41,,,,
129,131,9.64,9.32,9.41,9.52,,
130,140,8.61,8.95,9.14,8.95,,
130,142,8.61,8.89,,,,
131,234,9.52,12.35,,,,
131,132,9.52,9.65,,,,
132,140,9.65,8.95,,,,
132,233,9.65,12.17,,,,
132,133,9.65,9.37,9.62,9.51,,
133,135,9.51,9.61,9.57,10.08,,
133,232,9.51,11.84,,,,
134,237,11.98,11.72,,,,
135,237,10.08,11.72,,,,
135,139,10.08,8.88,,,,
135,138,10.08,9.49,,,,
136,238,11.45,11.44,,,,
137,138,11.28,9.49,,,,
137,238,11.28,11.44,,,,
138,231,9.49,9.57,11.62,,,
138,150,9.49,9.47,9.44,,,
139,140,8.88,8.95,,,,
139,148,8.88,9.26,,,,
139,149,8.88,9.32,9.11,,,
140,141,8.95,9.02,,,,
141,148,9.02,9.25,9.26,,,
141,147,9.02,8.92,,,,
141,143,9.02,8.99,8.93,8.69,,
142,143,8.89,8.69,,,,
143,144,8.69,8.88,,,,
144,147,8.88,8.86,8.94,8.92,,
144,145,8.88,9.16,,,,
145,146,9.16,9.42,9.27,9.35,9.28,
146,147,9.28,8.92,,,,
146,148,9.28,9.2,9.26,,,
148,149,9.26,9.11,,,,
149,150,9.11,9.44,,,,
151,152,9.41,9.42,,,,
152,153,9.42,9.38,,,,
152,154,9.42,10.37,,,,
153,155,9.38,11.3,,,,
154,155,10.37,11.14,11.3,,,
155,156,11.3,12.51,,,,
156,157,12.51,13.07,,,,
156,168,12.51,12.48,,,,
157,158,13.07,13.1,,,,
158,160,13.1,14.57,,,,
158,159,13.1,12.89,,,,
159,161,12.89,14.25,,,,
159,168,12.89,12.48,,,,
160,161,14.57,14.25,,,,
160,162,14.57,14.64,14.71,14.73,,
161,167,14.25,13.55,,,,
161,163,14.25,14.5,,,,
162,163,14.73,14.5,,,,
162,164,14.73,14.75,14.76,,,
163,165,14.5,14.58,,,,
164,165,14.76,14.71,14.58,,,
164,181,14.76,14.66,14.16,10.93,11.21,
165,166,14.58,14.28,,,,
166,167,14.28,13.55,,,,
167,168,13.55,12.48,,,,
169,250,11.71,11.71,,,,
170,171,12.25,12.48,,,,
170,239,12.25,11.93,,,,
171,236,12.48,12.41,,,,
171,173,12.48,12.13,11.01,10.36,,
172,176,11.73,12.63,,,,
172,247,11.76,11.80,11.78,,,
173,175,10.36,9.83,,,,
173,240,10.36,10.98,11.66,,,
173,179,10.36,9.11,,,,
174,240,11.22,11.54,11.66,,,
174,175,11.22,9.83,,,,
175,178,9.83,8.73,,,,
176,241,12.63,12.58,,,,
177,241,8.58,12.58,,,,
177,180,8.58,8.7,,,,
177,178,8.58,8.73,,,,
178,179,8.73,9.11,,,,
179,180,9.11,8.68,8.8,8.84,8.9,8.7
180,181,8.7,11.21,,,,
182,183,11.78,10.54,,,,
183,185,10.54,10.5,,,,
184,185,10.43,10.5,,,,
185,189,10.5,12.04,,,,
185,186,10.5,10.79,,,,
186,187,10.79,11.58,,,,
187,188,11.58,11.58,,,,
188,207,11.58,11.52,,,,
189,191,12.04,12.1,,,,
190,191,11.99,12.1,,,,
191,192,12.1,12.59,,,,
192,194,12.59,13.67,,,,
193,198,12.6,12.64,,,,
193,251,11.68,11.69,,,,
194,195,13.67,13.15,,,,
195,197,13.15,13.06,,,,
196,197,13.2,13.06,,,,
196,209,13.2,13.46,,,,
197,199,13.06,13.04,12.72,12.76,12.72,
198,200,12.64,12.66,,,,
199,200,12.72,12.66,,,,
205,251,11.81,11.61,,,,
205,208,11.7,11.54,,,,
206,208,11.59,11.54,,,,
207,208,11.52,11.54,,,,
209,212,13.46,13.5,,,,
210,212,13.52,13.5,,,,
211,212,13.48,13.5,,,,
211,213,13.48,12.91,,,,
213,214,12.91,12.54,,,,
214,217,12.54,12.25,,,,
215,217,12.27,12.25,,,,
216,230,12.2,12.16,12.16,12.12,,
216,217,12.2,12.25,,,,
218,238,11.16,11.44,,,,
218,220,11.16,11.2,,,,
219,221,11.22,11.24,,,,
220,221,11.2,11.24,,,,
221,222,11.24,11.36,,,,
222,223,11.36,11.66,,,,
223,224,11.66,11.89,,,,
224,225,11.89,11.93,,,,
226,227,12.34,12.29,12.21,,,
226,230,12.34,12.12,,,,
227,229,12.21,12.01,,,,
228,239,11.83,11.93,,,,
228,229,11.83,12.01,,,,
231,237,11.62,11.72,,,,
231,238,11.62,11.44,,,,
232,237,11.84,11.72,,,,
232,233,11.84,12.17,,,,
233,234,12.17,12.35,,,,
234,235,12.35,12.49,,,,
235,236,12.49,12.47,12.41,,,
239,249,11.82,11.70,,,,
240,248,11.80,11.73,11.73,,,
240,241,11.66,12.58,,,,
242,245,11.81,11.61,,,,
243,244,11.56,11.67,,,,
244,245,11.81,11.68,,,,
245,246,11.56,11.81,,,,
247,250,11.59,11.48,,,,
247,248,11.76,11.78,,,,
248,249,11.46,11.82,,,,
249,250,11.66,11.71,,,,
251,252,11.55,11.79,,,,
253,254,11.68,11.61,,,,
254,255,11.92,11.69,,,,
255,256,11.79,11.62,,,,
255,257,11.85,11.78,11.68,,,
