node1,node2,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,lat6,lon6
1,254,35.94875901101989,139.64066147804263,35.94898048960957,139.64079558849338,,,,,,,,
2,4,35.949445158358415,139.640725851059,35.95053950760507,139.64100480079654,,,,,,,,
2,253,35.949445158358415,139.640725851059,35.94905865837532,139.64059710502627,,,,,,,,
2,3,35.949445158358415,139.640725851059,35.949336591138376,139.64121937751773,,,,,,,,
3,5,35.949336591138376,139.64121937751773,35.95034408920849,139.64154660701755,,,,,,,,
3,9,35.949336591138376,139.64121937751773,35.94922368107132,139.6417021751404,,,,,,,,
4,182,35.95053950760507,139.64100480079654,35.95088402181778,139.6413052082062,,,,,,,,
4,5,35.95053950760507,139.64100480079654,35.95034408920849,139.64154660701755,,,,,,,,
5,8,35.95034408920849,139.64154660701755,35.95019643943272,139.64203476905826,,,,,,,,
6,182,35.95094337075962,139.64133739471438,35.95088402181778,139.6413052082062,,,,,,,,
6,7,35.95094337075962,139.64133739471438,35.95065675841103,139.64219033718112,,,,,,,,
7,183,35.95065675841103,139.64219033718112,35.95059306663128,139.64215815067294,,,,,,,,
7,184,35.95065675841103,139.64219033718112,35.95064952070647,139.64227080345157,,,,,,,,
8,9,35.95019643943272,139.64203476905826,35.94922368107132,139.6417021751404,,,,,,,,
8,186,35.95019643943272,139.64203476905826,35.950154460519,139.64212596416476,,,,,,,,
8,183,35.95019643943272,139.64203476905826,35.95059306663128,139.64215815067294,,,,,,,,
9,187,35.94922368107132,139.6417021751404,35.94920341513924,139.64179873466495,,,,,,,,
9,10,35.94922368107132,139.6417021751404,35.94878072463459,139.6415573358536,,,,,,,,
10,56,35.94878072463459,139.6415573358536,35.948569378525974,139.64147686958316,,,,,,,,
10,188,35.94878072463459,139.6415573358536,35.948751773141495,139.64165389537814,,,,,,,,
11,188,35.94860701555013,139.64234590530398,35.948751773141495,139.64165389537814,,,,,,,,
11,12,35.94860701555013,139.64234590530398,35.94846804800758,139.6430164575577,,,,,,,,
12,252,35.94846804800758,139.6430164575577,35.94823788247757,139.64295744895938,,,,,,,,
12,55,35.94846804800758,139.6430164575577,35.948259596235474,139.64289844036105,,,,,,,,
12,13,35.94846804800758,139.6430164575577,35.948745982848244,139.6431237459183,,,,,,,,
13,14,35.948745982848244,139.6431237459183,35.94888494990193,139.64316666126254,35.94905431566815,139.6424371004105,,,,,,
13,19,35.948745982848244,139.6431237459183,35.94865478558642,139.64362263679507,,,,,,,,
13,16,35.948745982848244,139.6431237459183,35.949727432432255,139.64346170425418,,,,,,,,
14,187,35.94905431566815,139.6424371004105,35.94920341513924,139.64179873466495,,,,,,,,
14,15,35.94905431566815,139.6424371004105,35.94994456564896,139.6427428722382,,,,,,,,
15,186,35.94994456564896,139.6427428722382,35.950154460519,139.64212596416476,,,,,,,,
15,16,35.94994456564896,139.6427428722382,35.949727432432255,139.64346170425418,,,,,,,,
16,189,35.949727432432255,139.64346170425418,35.950115376687876,139.64355826377871,,,,,,,,
16,191,35.949727432432255,139.64346170425418,35.95009366343998,139.6436280012131,,,,,,,,
17,190,35.95018775414321,139.6435904502869,35.95016314581218,139.64366018772128,,,,,,,,
17,189,35.95018775414321,139.6435904502869,35.950115376687876,139.64355826377871,,,,,,,,
17,184,35.95018775414321,139.6435904502869,35.95064952070647,139.64227080345157,,,,,,,,
18,190,35.950014048152255,139.6440947055817,35.95016314581218,139.64366018772128,,,,,,,,
18,192,35.950014048152255,139.6440947055817,35.9499546985123,139.64406251907351,,,,,,,,
18,22,35.950014048152255,139.6440947055817,35.9495667534677,139.64545190334323,,,,,,,,
18,23,35.950014048152255,139.6440947055817,35.949918509694456,139.64438974857333,35.95034843184478,139.64459359645846,,,,,,
19,20,35.94865478558642,139.64362263679507,35.948415935116095,139.64464724063876,,,,,,,,
19,192,35.94865478558642,139.64362263679507,35.9499546985123,139.64406251907351,,,,,,,,
20,21,35.948415935116095,139.64464724063876,35.94792086093282,139.64431464672091,,,,,,,,
20,194,35.948415935116095,139.64464724063876,35.94949871812648,139.64540362358096,,,,,,,,
21,26,35.94792086093282,139.64431464672091,35.947777549406084,139.6449798345566,,,,,,,,
21,252,35.94792086093282,139.64431464672091,35.94823788247757,139.64295744895938,,,,,,,,
22,24,35.9495667534677,139.64545190334323,35.949970621594844,139.64572548866275,,,,,,,,
22,194,35.9495667534677,139.64545190334323,35.94949871812648,139.64540362358096,,,,,,,,
22,25,35.9495667534677,139.64545190334323,35.949393046111425,139.6459668874741,,,,,,,,
23,24,35.95034843184478,139.64459359645846,35.949970621594844,139.64572548866275,,,,,,,,
24,57,35.949970621594844,139.64572548866275,35.950193544330794,139.6459347009659,,,,,,,,
25,196,35.949393046111425,139.6459668874741,35.9493640948427,139.64604735374454,,,,,,,,
25,195,35.949393046111425,139.6459668874741,35.94933803869677,139.64590787887576,,,,,,,,
25,60,35.949393046111425,139.6459668874741,35.95002418100671,139.64642822742465,,,,,,,,
26,195,35.947777549406084,139.6449798345566,35.94843330608375,139.6454465389252,35.94881980912595,139.6456289291382,35.94933803869677,139.64590787887576,,,,
26,198,35.947777549406084,139.6449798345566,35.947705169742804,139.64492082595828,,,,,,,,
26,199,35.947777549406084,139.6449798345566,35.94776596865978,139.6450871229172,,,,,,,,
27,29,35.94795994584956,139.64574694633487,35.94786874768044,139.6461117267609,,,,,,,,
27,28,35.94795994584956,139.64574694633487,35.948042458388024,139.64585423469546,35.948620043744704,139.64602589607242,,,,,,
27,199,35.94795994584956,139.64574694633487,35.94807720048373,139.64529633522037,35.94776596865978,139.6450871229172,,,,,,
28,31,35.948620043744704,139.64602589607242,35.9485722736874,139.646310210228,,,,,,,,
29,31,35.94786874768044,139.6461117267609,35.9485722736874,139.646310210228,,,,,,,,
29,30,35.94786874768044,139.6461117267609,35.9477124077171,139.64671254158023,,,,,,,,
30,38,35.9477124077171,139.64671254158023,35.94740841245834,139.64654088020328,,,,,,,,
30,39,35.9477124077171,139.64671254158023,35.94738235566744,139.64799463748935,,,,,,,,
30,37,35.9477124077171,139.64671254158023,35.948185769434296,139.647029042244,,,,,,,,
31,36,35.9485722736874,139.646310210228,35.94875032557236,139.64637994766238,35.94846370526793,139.64723825454715,,,,,,
31,37,35.9485722736874,139.646310210228,35.94831605197803,139.64625120162967,35.94809891428577,139.64695394039157,35.948185769434296,139.647029042244,,,,
31,32,35.9485722736874,139.646310210228,35.949167225977284,139.64650332927707,,,,,,,,
32,33,35.949167225977284,139.64650332927707,35.94950595593645,139.64673399925235,,,,,,,,
32,35,35.949167225977284,139.64650332927707,35.948828494565845,139.64750647544864,,,,,,,,
32,197,35.949167225977284,139.64650332927707,35.94930763984899,139.6460205316544,,,,,,,,
