node1,node2,total_distance_meters,total_elevation_gain_meters,total_elevation_loss_meters,start_elevation_meters,end_elevation_meters,average_gradient
49,50,54.13,0.64,0.00,11.40,12.04,0.01182339
49,52,42.86,0.31,0.00,11.40,11.71,0.00723285
49,101,42.09,0.00,0.24,11.40,11.16,-0.00570207
50,100,96.55,0.29,0.26,12.04,12.07,0.00031072
50,51,52.09,0.05,0.00,11.68,11.73,0.00095988
51,52,33.48,0.00,0.09,11.88,11.79,-0.00268817
55,205,7.95,0.00,0.03,11.73,11.70,-0.00377358
55,207,123.87,0.00,0.21,11.73,11.52,-0.00169533
55,252,5.84,0.00,0.28,11.80,11.52,-0.04794521
56,206,9.15,0.02,0.00,11.57,11.59,0.00218579
56,207,8.92,0.00,0.05,11.57,11.52,-0.00560538
56,256,39.91,0.13,0.00,11.68,11.81,0.00325733
57,59,51.76,0.00,0.08,13.97,13.89,-0.00154560
57,58,87.66,0.00,0.25,13.97,13.72,-0.00285193
57,60,48.33,0.00,0.51,13.97,13.46,-0.01055245
58,66,47.28,0.00,0.23,13.72,13.49,-0.00486464
58,210,45.63,0.00,0.20,13.72,13.52,-0.00438308
58,61,52.91,0.18,0.00,13.72,13.90,0.00340200
58,63,91.14,0.00,0.59,13.72,13.13,-0.00647356
59,61,86.48,0.01,0.00,13.89,13.90,0.00011563
60,210,83.98,0.06,0.00,13.46,13.52,0.00071446
60,209,9.18,0.00,0.00,13.46,13.46,0.00000000
61,62,92.62,0.00,0.44,13.90,13.46,-0.00475059
62,64,115.62,0.00,0.73,13.46,12.73,-0.00631379
62,63,53.03,0.00,0.33,13.46,13.13,-0.00622289
63,68,45.03,0.00,0.24,13.13,12.89,-0.00532978
63,65,105.20,0.00,0.64,13.13,12.49,-0.00608365
64,65,42.36,0.00,0.24,12.73,12.49,-0.00566572
65,70,42.53,0.00,0.25,12.49,12.24,-0.00587820
65,108,106.06,0.00,0.22,12.49,12.27,-0.00207430
65,215,42.86,0.00,0.22,12.49,12.27,-0.00513299
66,210,6.18,0.03,0.00,13.49,13.52,0.00485437
66,68,87.29,0.00,0.60,13.49,12.89,-0.00687364
66,211,8.72,0.00,0.01,13.49,13.48,-0.00114679
67,104,43.15,0.05,0.00,13.15,13.20,0.00115875
67,98,103.32,0.00,1.09,13.15,12.06,-0.01054975
67,211,40.23,0.33,0.00,13.15,13.48,0.00820283
67,97,41.08,0.00,0.29,13.15,12.86,-0.00705940
67,212,40.55,0.35,0.00,13.15,13.50,0.00863132
68,69,40.01,0.00,0.35,12.89,12.54,-0.00874781
69,215,53.13,0.00,0.27,12.54,12.27,-0.00508187
